SLN,name,tot_pop,bp_pop,bp_u18,rohh,thh,med_rent,mhi,per_as,per_bl,per_wh,per_his,tot_mf,tot_units,MAR,IncomeNeed,moymPerGr1t3_24,moymPerGrkt5_24,moymPerGr1t3_23,moymPerGrkt5_23,moymGr1t3_24,moymGrkt5_24,moymGr1t3_23,moymGrkt5_23
194,Polk Elementary,14306.9418,0.109193391700244,689.386,2636.7836,6190.2692,1500,111879.307692308,0.0296440431455449,0.0980370661744077,0.57656634907119,0.271384552637238,14,2264,1711.63636363636,82158.5454545455,0.0654205607476636,0.072,0.131147540983607,0.109848484848485,7,18,16,29
195,Preston Hollow Elementary,16823.8481,0.0636029993637425,140.686,4234.8223,8675.5576,1615,101519.176470588,0.0308732043295137,0.0611367383898337,0.806546577176954,0.0807066547397085,24,4689,2267.29411764706,108830.117647059,0.109195402298851,0.0888888888888889,0.08125,0.0838323353293413,19,28,13,28
197,Bishop Arts Elementary,1722.3627,0.161296340195941,104.7526,339.7533,539.1031,1283.5,64902.5,0.00696096124236783,0.0260316831060032,0.171688344156547,0.773291421139113,28,1164,1361.75,65364,0.0234375,0.0347490347490348,0.0458715596330275,0.0347826086956522,3,9,5,8
198,Reilly Elementary,9729.6181,0.119402322687259,387.9256,2055.9454,4217.331,1359.625,82215.625,0.0118251506706106,0.122690673748027,0.411286255932286,0.426910671858744,7,1376,1249.83333333333,59992,0.103603603603604,0.0781990521327014,0.0639269406392694,0.0715883668903803,23,33,14,32
199,Reinhardt Elementary,9779.9867,0.0887365623922577,224.2455,971.7503,3859.4825,1432.125,82852,0.000231585182012569,0.0399209336348075,0.460977354907855,0.476110105548508,5,380,1584,76032,0.0561224489795918,0.0552631578947368,0.0510204081632653,0.0358056265984655,11,21,10,14
201,Rice Learning Center,4770.6993,0.288117907578036,455.4549,1114.7071,1769.706,1046,35580.6,0.000922149924645219,0.626375089287225,0.0645813707017753,0.277437838096398,4,354,774.666666666667,37184,0.136094674556213,0.127167630057803,0.147058823529412,0.137362637362637,23,44,30,50
202,Roberts Elementary,4512.7452,0.187423300566582,226.3893,890.8154,1531.7697,1101.2,54251.6,0.0178599048756398,0.159558000305446,0.0945805005786722,0.714232746843318,11,176,718.333333333333,34480,0.1375,0.0993589743589744,0.0674846625766871,0.0636363636363636,22,31,11,21
203,Rogers Elementary,15280.1842,0.092834214655606,231.9127,7504.8463,8749.6126,1491.23076923077,74209.1538461539,0.114197883818704,0.108489798179265,0.554028537169074,0.17613619474561,26,9117,1724.34615384615,82768.6153846154,0.0890052356020942,0.0878186968838527,0.104166666666667,0.0983606557377049,17,31,20,36
204,Rosemont Lower Elementary,11237.0594,0.103781733146307,251.5927,1939.2197,4974.5452,1226.54545454545,74815.2727272727,0.0150730982164248,0.0552324391913422,0.497079129082472,0.400516571087984,40,1229,1218.33333333333,58480,0.0200803212851406,0.02710027100271,0.0144508670520231,0.0191458026509573,5,10,5,13
205,Russell Elementary,6997.5736,0.231946313505013,739.1115,979.0035,1905.3192,1182.875,50159.875,0.00272720246915302,0.231746272736595,0.030370613036496,0.722754713147998,3,162,1518.5,72888,0.0504587155963303,0.0558139534883721,0.0705394190871369,0.082135523613963,11,24,17,40
206,Sanger Elementary,8509.0516,0.0927815151573414,159.5399,1929.3795,4146.2457,1419.30769230769,85769.3846153846,0.0138883162960253,0.105920500000259,0.638545604776918,0.217659133715913,13,2285,1379.18181818182,66200.7272727273,0.037037037037037,0.0471092077087794,0.0511811023622047,0.0444915254237288,9,22,13,21
207,San Jacinto Elementary,3116.9521,0.172226868677257,117.5112,334.4901,1132.443,1191.4,54041.8,2.13670271031756e-05,0.218327930031392,0.107810094354674,0.661610423849632,2,341,1052.5,50520,0.0529100529100529,0.0617977528089888,0.12565445026178,0.0989010989010989,10,22,24,36
208,Seagoville Elementary,12737.1107,0.157811692725572,818.7242,786.0365,2943.5271,1049.8,58631.6,0.0013242406694322,0.120213126513849,0.341403792619938,0.519426230628584,5,313,,,0.0909090909090909,0.0756143667296786,0.0827067669172932,0.0695488721804511,23,40,22,37
209,Silberstein Elementary,6438.2347,0.149811515880277,275.4345,637.0756,2087.0936,1039.11111111111,45607.7777777778,0.00154977264187029,0.048105717550185,0.104022116497244,0.841716596631682,2,166,1244.5,59736,0.0666666666666667,0.0608108108108108,0.06,0.0486111111111111,14,27,12,21
210,Stemmons Elementary,11538.4667,0.160257020978359,625.5743,2093.3138,3915.3019,1189,54484.5,0.0148953500034801,0.246337184471833,0.115657594262503,0.614062117976213,5,1033,1206.25,57900,0.0441176470588235,0.0435643564356436,0.051792828685259,0.0628803245436106,12,22,13,31
211,Stevens Park Elementary,9577.9289,0.178919755814851,625.3536,2305.5872,3436.5366,1219,78752.6666666667,0.00518953528669439,0.0977090673537992,0.149402236635939,0.716896405443143,23,3521,1277.2,61305.6,0.137546468401487,0.12770137524558,0.0881226053639847,0.0831643002028398,37,65,23,41
213,Terry Elementary,3998.497,0.200919520509832,187.5208,472.9745,1402.1768,1398.5,50355.8333333333,0.00387255511258355,0.484335589097604,0.0812174674633994,0.415830123168781,0,0,,,0.0538461538461539,0.0506329113924051,0.0909090909090909,0.0737704918032787,7,12,12,18
215,Fridia Elementary,4403.5734,0.18121755390747,114.3406,395.6678,1537.8924,1147.4,47043.4,0.000169294328101809,0.722058521835926,0.0114862852064644,0.253734841799163,2,412,1028.5,49368,0.0845070422535211,0.137254901960784,0.139784946236559,0.105882352941176,6,21,13,18
216,Titche Elementary,11701.7198,0.256272415615353,1412.9202,2161.6996,3643.77,1315.375,51530.5,0.00680939223993383,0.341786802996257,0.0379583520706076,0.605088313599852,10,1803,1027.44444444444,49317.3333333333,0.171974522292994,0.140939597315436,0.115646258503401,0.120274914089347,54,84,34,70
218,Truett Elementary,11325.485,0.389501579844042,2242.8779,2178.5216,3328.9423,1284.875,51685.375,0.00968846808768013,0.35199100965654,0.121540313726079,0.504661831259324,15,2218,1132.41666666667,54356,0.116788321167883,0.121890547263682,0.119512195121951,0.122503328894807,48,98,49,92
